row_type,played_note,played_midi,played_freq,band_index,band_center_freq,band_fmin,band_fmax,scan_direction,candidate_f0,candidate_note,pitchyinfft_score,candidate_in_band,delta_cents_vs_played,fft_band_f0,fft_band_note,fft_band_score,fft_band_selected,hps_f0,hps_note,hps_score,hps_multi_note,candidate_fft_local_f0,candidate_fft_local_note,candidate_fft_local_score,candidate_hps_local_f0,candidate_hps_local_note,candidate_hps_local_score,candidate_hps_band_note,candidate_hps_agreement,candidate_final_score,refine_selected,refined_from_note,refined_from_f0,refined_f0,refined_note,refined_score,refined_delta_cents,chosen_note,chosen_f0,chosen_score,chosen_method,chosen_note_2,chosen_f0_2,chosen_score_2,chosen_method_2,chosen_note_3,chosen_f0_3,chosen_score_3,chosen_method_3,chosen_note_4,chosen_f0_4,chosen_score_4,chosen_method_4,candidate_top_notes
summary,E3,52,164.81377845643496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F3,53,174.61411571650194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F♯3,54,184.9972113558172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G3,55,195.99771799087463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯3,56,207.65234878997256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,A3,57,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B♭3,58,233.08188075904496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B3,59,246.94165062806206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C4,60,261.6255653005986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C♯4,61,277.1826309768721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
